date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:06	92219/92219	---M-Z	200	added ('OK')	text/html	etag:W/%22825ddc92ceae1e4683760a37aaddcf42--gzip%22	https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt	/home/benz/website-copy/www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt.html	(from https://www.manycolouredsky.org/shop)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.26.delayed	(from https://www.manycolouredsky.org/about)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.27.delayed	(from https://www.manycolouredsky.org/about)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.28.delayed	(from https://www.manycolouredsky.org/about)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.29.delayed	(from https://www.manycolouredsky.org/what-we-do)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.2a.delayed	(from https://www.manycolouredsky.org/what-we-do)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.2b.delayed	(from https://www.manycolouredsky.org/what-we-do)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.2c.delayed	(from https://www.manycolouredsky.org/resources)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.2d.delayed	(from https://www.manycolouredsky.org/resources)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.2e.delayed	(from https://www.manycolouredsky.org/resources)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.2f.delayed	(from https://www.manycolouredsky.org/contact)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.30.delayed	(from https://www.manycolouredsky.org/contact)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.31.delayed	(from https://www.manycolouredsky.org/contact)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.32.delayed	(from https://www.manycolouredsky.org/rainbow-to-refuge-for-queer-asylum-seekers-and-refugees)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.33.delayed	(from https://www.manycolouredsky.org/rainbow-to-refuge-for-queer-asylum-seekers-and-refugees)
10:53:07	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.34.delayed	(from https://www.manycolouredsky.org/rainbow-to-refuge-for-queer-asylum-seekers-and-refugees)
10:53:07	90917/90917	---M-Z	200	added ('OK')	text/html	etag:W/%2205fd0802ceb1e9999e7717dc75ce7dad%22	https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt-epmrw	/home/benz/website-copy/www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt-epmrw.html	(from https://www.manycolouredsky.org/shop)
10:53:09	56195/56195	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22cbacbc9f2f9d097a9a3c095e72b9e704%22	https://www.manycolouredsky.org/ugandan	/home/benz/website-copy/www.manycolouredsky.org/ugandan.35.delayed	(from https://www.manycolouredsky.org/rainbow-to-refuge-for-queer-asylum-seekers-and-refugees)
10:53:11	56195/56195	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22cbacbc9f2f9d097a9a3c095e72b9e704%22	https://www.manycolouredsky.org/kenya	/home/benz/website-copy/www.manycolouredsky.org/kenya.36.delayed	(from https://www.manycolouredsky.org/rainbow-to-refuge-for-queer-asylum-seekers-and-refugees)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.37.delayed	(from https://www.manycolouredsky.org/qraspaustralia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.38.delayed	(from https://www.manycolouredsky.org/qraspaustralia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.39.delayed	(from https://www.manycolouredsky.org/qraspaustralia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.3a.delayed	(from https://www.manycolouredsky.org/indonesia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.3b.delayed	(from https://www.manycolouredsky.org/indonesia)
